A,B,C,D,E,F,Fpop,Cpop,Total users,Temperature,Conditions,Time index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,3.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,11
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,3.0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,13
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,16.0,3.0,14
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,3.0,15
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,3.0,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,17
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,2.0,18
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,20.0,3.0,19
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,21.0,3.0,20
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,21
1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,22.0,2.0,22
1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,23.0,3.0,23
2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,2.0,24
1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,25.0,2.0,25
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,26.0,2.0,26
1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,7.0,26.0,2.0,27
8.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,16.0,26.0,2.0,28
13.0,5.0,4.0,1.0,3.0,1.0,0.0,0.0,27.0,27.0,2.0,29
12.0,9.0,12.0,16.0,8.0,7.0,0.0,0.0,64.0,27.0,2.0,30
10.0,8.0,33.0,7.0,3.0,10.0,0.0,0.0,71.0,28.0,2.0,31
14.0,19.0,31.0,4.0,6.0,12.0,0.0,0.0,86.0,28.0,3.0,32
11.0,13.0,32.0,8.0,9.0,10.0,0.0,0.0,83.0,28.0,3.0,33
12.0,10.0,33.0,14.0,11.0,15.0,0.0,0.8804284883178531,95.0,29.0,2.0,34
12.0,13.0,41.0,3.0,11.0,7.0,0.5700661125189511,0.8804284883178531,87.0,29.0,3.0,35
15.0,11.0,33.0,15.0,12.0,8.0,0.5700661125189511,0.8804284883178531,94.0,29.0,3.0,36
13.0,9.0,40.0,21.0,13.0,3.0,0.5700661125189511,0.8804284883178531,99.0,29.0,3.0,37
12.0,9.0,37.0,8.0,13.0,6.0,0.5700661125189511,0.8183592092385709,85.0,28.0,3.0,38
4.0,8.0,43.0,11.0,12.0,7.0,0.5752592768889914,0.8183592092385709,85.0,28.0,1.0,39
6.0,8.0,43.0,11.0,9.0,5.0,0.5752592768889914,0.8183592092385709,82.0,27.0,2.0,40
11.0,11.0,34.0,7.0,12.0,12.0,0.5752592768889914,0.8638698787801952,87.0,27.0,0.0,41
5.0,10.0,19.0,4.0,7.0,6.0,0.9392640833542918,0.8638698787801952,51.0,25.0,0.0,42
1.0,7.0,13.0,2.0,6.0,5.0,0.9392640833542918,0.8638698787801952,34.0,19.0,1.0,43
3.0,1.0,12.0,2.0,5.0,1.0,0.9999999999999999,0.8638698787801952,24.0,18.0,0.0,44
2.0,1.0,2.0,3.0,0.0,1.0,0.9999999999999999,0.927472222440844,9.0,18.0,0.0,45
1.0,0.0,0.0,2.0,0.0,0.0,0.9999999999999999,0.927472222440844,3.0,18.0,0.0,46
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,3.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,14
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,18.0,2.0,15
1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,18.0,2.0,16
1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,8.0,20.0,3.0,17
1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,21.0,3.0,18
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,21.0,3.0,19
2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,22.0,3.0,20
2.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,9.0,23.0,2.0,21
3.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,12.0,23.0,2.0,22
2.0,4.0,3.0,4.0,1.0,3.0,0.0,0.0,17.0,24.0,2.0,23
1.0,2.0,7.0,2.0,1.0,4.0,0.0,0.0,17.0,25.0,2.0,24
3.0,7.0,3.0,3.0,2.0,5.0,0.7839122560219141,0.48323219975226767,23.0,25.0,2.0,25
6.0,4.0,8.0,3.0,3.0,10.0,0.7839122560219141,0.48323219975226767,34.0,26.0,2.0,26
6.0,10.0,8.0,11.0,3.0,6.0,0.7839122560219141,0.45303018726775096,44.0,27.0,1.0,27
6.0,4.0,8.0,12.0,4.0,7.0,0.7839122560219141,0.45303018726775096,41.0,26.0,1.0,28
7.0,12.0,14.0,9.0,1.0,12.0,0.5752592768889914,0.45303018726775096,55.0,26.0,1.0,29
3.0,13.0,11.0,13.0,1.0,11.0,0.5752592768889914,0.45303018726775096,52.0,27.0,1.0,30
10.0,14.0,10.0,11.0,3.0,12.0,0.7639312224802616,0.8480894349756523,60.0,27.0,2.0,31
15.0,8.0,18.0,9.0,4.0,10.0,0.7639312224802616,0.8480894349756523,64.0,28.0,2.0,32
9.0,11.0,20.0,5.0,7.0,8.0,0.7639312224802616,0.8480894349756523,60.0,28.0,2.0,33
8.0,14.0,19.0,15.0,4.0,9.0,0.7670123691853219,0.8748765091174405,69.0,28.0,2.0,34
2.0,9.0,21.0,20.0,5.0,13.0,0.7670123691853219,0.8748765091174405,70.0,29.0,2.0,35
9.0,8.0,21.0,9.0,7.0,6.0,0.6080705200202146,0.8748765091174405,60.0,29.0,2.0,36
4.0,7.0,31.0,9.0,5.0,6.0,0.5752592768889914,0.9062833367737335,62.0,29.0,2.0,37
6.0,10.0,25.0,5.0,3.0,6.0,0.5752592768889914,0.9062833367737335,55.0,29.0,2.0,38
0.0,12.0,11.0,9.0,2.0,4.0,0.5752592768889914,0.9062833367737335,38.0,28.0,3.0,39
2.0,11.0,24.0,13.0,6.0,7.0,0.8228852290516082,0.9062833367737335,63.0,28.0,3.0,40
0.0,7.0,14.0,12.0,10.0,6.0,0.8228852290516082,0.7550503121129183,49.0,27.0,3.0,41
4.0,7.0,12.0,12.0,6.0,5.0,0.8228852290516082,0.7550503121129183,46.0,26.0,3.0,42
2.0,8.0,14.0,9.0,7.0,7.0,0.8228852290516082,0.7550503121129183,47.0,25.0,3.0,43
6.0,10.0,9.0,4.0,4.0,1.0,0.8429081508122938,0.7550503121129183,34.0,24.0,3.0,44
2.0,1.0,0.0,4.0,1.0,4.0,0.8429081508122938,0.6671131545326969,12.0,22.0,2.0,45
2.0,1.0,1.0,0.0,0.0,3.0,0.8429081508122938,0.6671131545326969,7.0,23.0,3.0,46
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,11
0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,18.0,2.0,12
3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,18.0,2.0,13
4.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,12.0,18.0,2.0,14
2.0,3.0,9.0,2.0,1.0,1.0,0.0,0.0,18.0,18.0,1.0,15
7.0,2.0,11.0,4.0,3.0,2.0,0.0,0.0,29.0,19.0,2.0,16
9.0,2.0,15.0,3.0,4.0,1.0,0.0,0.0,34.0,19.0,2.0,17
2.0,2.0,13.0,6.0,2.0,2.0,0.0,0.0,27.0,19.0,2.0,18
4.0,2.0,17.0,5.0,4.0,1.0,0.0,0.0,33.0,19.0,2.0,19
2.0,7.0,16.0,5.0,3.0,4.0,0.0,0.0,37.0,19.0,2.0,20
4.0,5.0,10.0,9.0,4.0,5.0,0.0,0.0,37.0,19.0,2.0,21
1.0,8.0,10.0,5.0,5.0,7.0,0.0,0.0,36.0,20.0,1.0,22
1.0,8.0,3.0,4.0,6.0,8.0,0.0,0.0,30.0,21.0,1.0,23
1.0,8.0,0.0,6.0,4.0,8.0,0.0,0.0,27.0,21.0,1.0,24
1.0,13.0,3.0,10.0,3.0,7.0,0.0,0.0,37.0,21.0,1.0,25
5.0,10.0,7.0,6.0,8.0,14.0,0.0,0.0,50.0,22.0,1.0,26
3.0,9.0,12.0,10.0,5.0,13.0,0.0,0.0,52.0,22.0,1.0,27
6.0,9.0,10.0,12.0,4.0,9.0,0.0,0.0,50.0,21.0,2.0,28
6.0,6.0,20.0,12.0,4.0,9.0,0.0,0.45307632293234396,57.0,22.0,2.0,29
5.0,7.0,16.0,11.0,2.0,9.0,0.0,0.45307632293234396,50.0,23.0,2.0,30
6.0,12.0,16.0,14.0,4.0,17.0,0.0,0.45307632293234396,69.0,23.0,2.0,31
6.0,8.0,15.0,13.0,4.0,9.0,0.5700661125189511,0.48323219975226767,55.0,22.0,2.0,32
12.0,11.0,18.0,15.0,3.0,6.0,0.5700661125189511,0.48323219975226767,65.0,23.0,2.0,33
7.0,3.0,24.0,5.0,4.0,5.0,0.5700661125189511,0.48323219975226767,48.0,23.0,2.0,34
3.0,6.0,19.0,4.0,12.0,1.0,0.6080705200202146,0.8070736830606344,45.0,23.0,2.0,35
3.0,8.0,17.0,6.0,10.0,4.0,0.6080705200202146,0.8070736830606344,48.0,22.0,2.0,36
4.0,4.0,23.0,10.0,1.0,5.0,0.6080705200202146,0.8070736830606344,47.0,22.0,2.0,37
2.0,6.0,21.0,7.0,10.0,2.0,0.5752592768889914,0.6779472517676925,48.0,22.0,2.0,38
3.0,10.0,21.0,6.0,13.0,2.0,0.7947776680778615,0.6779472517676925,55.0,22.0,2.0,39
3.0,4.0,19.0,5.0,9.0,1.0,0.7947776680778615,0.6779472517676925,41.0,21.0,3.0,40
3.0,9.0,20.0,11.0,14.0,4.0,0.9258800742851085,0.9245350418790841,61.0,21.0,3.0,41
3.0,6.0,3.0,5.0,1.0,5.0,0.9258800742851085,0.9245350418790841,23.0,20.0,3.0,42
2.0,1.0,1.0,2.0,0.0,0.0,0.9258800742851085,0.9245350418790841,6.0,20.0,3.0,43
0.0,0.0,0.0,0.0,0.0,0.0,0.9258800742851085,0.9245350418790841,0.0,20.0,3.0,44
0.0,0.0,0.0,0.0,0.0,0.0,0.9083908926041908,0.0,0.0,19.0,3.0,45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,46
